project_id,site,transect,survey_date,image_id,image_file,image_path,point_id,cpce_x,cpce_y,cpce_width,cpce_height,image_width,image_height,x_px,y_px,raw_code,raw_label,full_label,clean_label,label_class,major_category,ml_class,class_id,reviewer,notes,cpce_note_type,cpc_file,codefile_path,cpce_image_path,cpce_header_width,cpce_header_height,roi_x_min,roi_x_max,roi_y_min,roi_y_max,include_in_analysis,include_in_ml,color_hex
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,11,6893,2428,45581.55,28658.92,3040,1912,460,162,LOBO,LOBO,Lobophora variegata,Lobophora variegata,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#33cc66
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,12,5954,5682,45581.55,28658.92,3040,1912,397,379,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,13,5736,5838,45581.55,28658.92,3040,1912,383,389,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,14,8810,8613,45581.55,28658.92,3040,1912,588,575,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,15,4706,13491,45581.55,28658.92,3040,1912,314,900,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,16,7166,16317,45581.55,28658.92,3040,1912,478,1089,CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#8b0000
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,17,4866,18193,45581.55,28658.92,3040,1912,325,1214,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,18,5670,22914,45581.55,28658.92,3040,1912,378,1529,PEFL,PEFL,Peyssonnelia flavescens,Peyssonnelia flavescens,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#cc3366
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,19,5546,23028,45581.55,28658.92,3040,1912,370,1536,PEFL,PEFL,Peyssonnelia flavescens,Peyssonnelia flavescens,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#cc3366
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,20,8511,26165,45581.55,28658.92,3040,1912,568,1746,PEFL,PEFL,Peyssonnelia flavescens,Peyssonnelia flavescens,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#cc3366
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,21,13251,1776,45581.55,28658.92,3040,1912,884,118,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,22,13167,4522,45581.55,28658.92,3040,1912,878,302,CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#8b0000
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,23,10891,7648,45581.55,28658.92,3040,1912,726,510,PEYS,PEYS,Peyssonnelia,Peyssonnelia,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#cc3366
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,24,10431,9901,45581.55,28658.92,3040,1912,696,661,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,25,11043,13845,45581.55,28658.92,3040,1912,736,924,CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#8b0000
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,26,13526,15936,45581.55,28658.92,3040,1912,902,1063,LOBO,LOBO,Lobophora variegata,Lobophora variegata,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#33cc66
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,27,9442,17881,45581.55,28658.92,3040,1912,630,1193,CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#8b0000
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,28,12428,20196,45581.55,28658.92,3040,1912,829,1347,CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#8b0000
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,29,10994,25762,45581.55,28658.92,3040,1912,733,1719,PEFL,PEFL,Peyssonnelia flavescens,Peyssonnelia flavescens,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#cc3366
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,30,10297,26802,45581.55,28658.92,3040,1912,687,1788,CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#8b0000
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,31,15899,2447,45581.55,28658.92,3040,1912,1060,163,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,32,17325,4713,45581.55,28658.92,3040,1912,1155,314,PEYS,PEYS,Peyssonnelia,Peyssonnelia,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#cc3366
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,33,15078,7057,45581.55,28658.92,3040,1912,1006,471,PEYS,PEYS,Peyssonnelia,Peyssonnelia,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#cc3366
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,34,13833,11196,45581.55,28658.92,3040,1912,923,747,P,P,Pavement,Pavement,subcategory,"SAND, PAVEMENT, RUBBLE (SPR)","SAND, PAVEMENT, RUBBLE (SPR)",8,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#d8c28a
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,35,16886,13752,45581.55,28658.92,3040,1912,1126,917,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,36,17991,15192,45581.55,28658.92,3040,1912,1200,1014,LOBO,LOBO,Lobophora variegata,Lobophora variegata,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#33cc66
NA,Hole in the Wall,HIW_158_W_U-1,NA,HIW_158_W_U-1,HIW_158_W_U-1.jpg,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.jpg,37,16988,19379,45581.55,28658.92,3040,1912,1133,1293,SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,NA,NA,Notes,/Users/ec/Documents/Data/PointCoralPackage/pointcoral/inst/extdata/HIW_158_W_U-1.cpc,C:\PROGRA~1\CPCe36\SHALLO~1.TXT,E:\Trasects June 09\Deep Cres\Hole in the Wall\48 meters\HIW_158_W_U-1.jpg,45600,28680,0,45581.55,0,28658.92,TRUE,TRUE,#3399ff
