raw_code,raw_label,full_label,clean_label,label_class,major_category,ml_class,class_id,include_in_analysis,include_in_ml,color_hex,notes
CB,CB,Colpophyllia breviserialis,Colpophyllia breviserialis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
CN,CN,Colpophyllia natans,Colpophyllia natans,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
CORAL,CORAL,Coral,Coral,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
CORJU,CORJU,Coral juvenile,Coral juvenile,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DCY,DCY,Dendrogyra cylindrus,Dendrogyra cylindrus,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DST,DST,Dichocoenia stellaris,Dichocoenia stellaris,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DSO,DSO,Dichocoenia stokesi,Dichocoenia stokesi,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DC,DC,Diploria,Diploria,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DL,DL,Diploria labyrinthiformis,Diploria labyrinthiformis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DS,DS,Diploria strigosa,Diploria strigosa,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
EF,EF,Eusmilia fastigiata,Eusmilia fastigiata,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
FF,FF,Favia fragum,Favia fragum,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
IS,IS,Isophyllia,Isophyllia,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
LC,LC,Leptoseris cucullata,Leptoseris cucullata,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MD,MD,Madracis,Madracis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MM,MM,Meandrina meandrites,Meandrina meandrites,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MPHA,MPHA,Madracis pharensis,Madracis pharensis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MOSA,MOSA,Montastraea,Montastraea,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MAR,MAR,Montastraea annularis,Montastraea annularis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MME,MME,Meandrina meandrites,Meandrina meandrites,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MILA,MILA,Millipora,Millipora,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MILC,MILC,Millipora,Millipora,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MILS,MILS,Millipora,Millipora,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MA,MA,Montastraea annularis,Montastraea annularis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MC,MC,Montastraea cavernosa,Montastraea cavernosa,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MFAV,MFAV,Orbicella faveolata,Orbicella faveolata,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MFRN,MFRN,Orbicella franksi,Orbicella franksi,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MAN,MAN,Montastraea annularis,Montastraea annularis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MAL,MAL,Agaricia lamarcki,Agaricia lamarcki,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MDA,MDA,Madracis,Madracis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MF,MF,Montastrea faveolata,Montastrea faveolata,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
ML,ML,Agaricia lamarcki,Agaricia lamarcki,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
OD,OD,Oculina,Oculina,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PA,PA,Porites astreoides,Porites astreoides,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PB,PB,Porites,Porites,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PD,PD,Porites,Porites,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PF,PF,Porites,Porites,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PP,PP,Porites porites,Porites porites,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SC,SC,Scolymia cubensis,Scolymia cubensis,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SL,SL,Scolymia lacera,Scolymia lacera,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SR,SR,Siderastrea radians,Siderastrea radians,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SS,SS,Siderastrea siderea,Siderastrea siderea,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SB,SB,Solenastrea bournoni,Solenastrea bournoni,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SH,SH,Solenastrea hyades,Solenastrea hyades,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SM,SM,Stephanocoenia michelinii,Stephanocoenia michelinii,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
TA,TA,Tubastraea aurea,Tubastraea aurea,subcategory,CORAL (C),CORAL (C),0,TRUE,TRUE,#ff4d4d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
BRI,BRI,Briareum,Briareum,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
ERY,ERY,Erythropodium,Erythropodium,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
EUN,EUN,Eunicea,Eunicea,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
GORG,GORG,Gorgonian,Gorgonian,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
ICIL,ICIL,Iciligorgia,Iciligorgia,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MUR,MUR,Muricea,Muricea,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MOPS,MOPS,Muriceopsis,Muriceopsis,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PAURA,PAURA,Plexaura,Plexaura,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PRELA,PRELA,Plexaurella,Plexaurella,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PSDP,PSDP,Pseudoplexaura,Pseudoplexaura,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PSPT,PSPT,Pseudopterogorgia,Pseudopterogorgia,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PTER,PTER,Pterogorgia,Pterogorgia,subcategory,GORGONIANS (G),GORGONIANS (G),1,TRUE,TRUE,#ff944d,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SPO,SPO,Sponge,Sponge,subcategory,SPONGES (S),SPONGES (S),2,TRUE,TRUE,#3399ff,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PAL,PAL,Palythoa sp.,Palythoa sp.,subcategory,ZOANTHIDS (Z),ZOANTHIDS (Z),3,TRUE,TRUE,#cc66ff,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
ZO,ZO,Zoanthid,Zoanthid,subcategory,ZOANTHIDS (Z),ZOANTHIDS (Z),3,TRUE,TRUE,#cc66ff,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DICT,DICT,Dictyota,Dictyota,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
LIAG,LIAG,Liagora,Liagora,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
LOBO,LOBO,Lobophora variegata,Lobophora variegata,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MACA,MACA,Macroalgae,Macroalgae,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PAD,PAD,Padina,Padina,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SARG,SARG,Sargassum,Sargassum,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SCHIZ,SCHIZ,Schizothrix,Schizothrix,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
TURF,TURF,Turf,Turf,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
WRAN,WRAN,Wrangelia,Wrangelia,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
MICR,MICR,Microdictyon,Microdictyon,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
RHIP,RHIP,Rhipiliopsis,Rhipiliopsis,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
VERD,VERD,Verdigela sp,Verdigela sp,subcategory,MACROALGAE (MA),MACROALGAE (MA),4,TRUE,TRUE,#33cc66,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
HALI,HALI,Halimeda,Halimeda,subcategory,CALCAREOUS GREEN,CALCAREOUS GREEN,6,TRUE,TRUE,#66cc99,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PEYS,PEYS,Peyssonnelia,Peyssonnelia,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,TRUE,TRUE,#cc3366,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PEBO,PEBO,Peyssonnelia boergessenii,Peyssonnelia boergessenii,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,TRUE,TRUE,#cc3366,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PEFL,PEFL,Peyssonnelia flavescens,Peyssonnelia flavescens,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,TRUE,TRUE,#cc3366,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PEGI,PEGI,Peyssonnelia gigaspora,Peyssonnelia gigaspora,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,TRUE,TRUE,#cc3366,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PEIR,PEIR,Peyssonnelia iridescens,Peyssonnelia iridescens,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,TRUE,TRUE,#cc3366,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PEME,PEME,Peyssonnelia megasorus,Peyssonnelia megasorus,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,TRUE,TRUE,#cc3366,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
PY,PY,Peyssonnelia,Peyssonnelia,subcategory,PEYSSONNELIACEAE,PEYSSONNELIACEAE,5,TRUE,TRUE,#cc3366,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
AMP,AMP,Amphiroa,Amphiroa,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,TRUE,TRUE,#8b0000,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
